duration,zero_crossing_rate,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,tempo,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_mean,chroma_std,rms_mean,rms_std,title,category
237.66666666666666,0.11089532158252735,2068.4405736019125,473.54378644205764,4170.1816286040075,2111.6159331128183,[172.265625],-106.60953,80.25513,110.132996,27.43302,-29.27202,23.421738,19.955822,13.559486,-2.7551916,9.867658,5.9924645,8.1396475,-1.5627394,7.321661,3.044242,7.6549582,-5.0504575,7.319904,3.7353313,6.4579134,-1.4977047,6.8250403,1.9298861,6.4415784,-3.5907967,6.1661134,0.4097403,0.27628076,0.09773761,0.037708916,County Jail Blues.mp3,blues
192.0377777777778,0.08528881974670535,2074.781356842125,979.8995550251348,4435.76174000272,2276.8272019495034,[112.34714674],-192.92485,107.630745,85.57531,37.23732,9.170466,20.23586,36.934063,19.695288,-4.2434626,12.643569,19.741419,11.798439,6.8148775,10.722356,4.560335,9.636025,0.69905096,10.000441,-3.293536,10.917411,-9.045912,9.051089,-0.17945476,7.58742,-6.293002,7.583648,0.33887333,0.3028923,0.09107759,0.0372858,Help Me.mp3,blues
383.3333333333333,0.10227562309762857,1998.094463821613,574.9424198295106,3854.7061821037955,2063.5298357141387,[107.66601562],-167.49916,86.723885,107.633095,26.455746,-25.51904,25.380856,11.737452,14.307153,3.2672503,13.255716,1.5308892,10.614188,-6.0875716,11.783808,2.9770727,11.18078,-6.691468,10.305748,1.5067407,9.460583,-1.8897479,9.04355,1.2914728,9.287235,-1.1477795,10.365808,0.32443792,0.3071242,0.090055466,0.07166049,"Worry, Worry.mp3",blues
152.53333333333333,0.0836273425608828,1876.0453199794952,593.7224851688483,4067.6614003638697,2195.16291038802,[103.359375],-126.63545,86.51561,106.73462,27.968199,0.84559166,19.992325,24.095081,13.560784,-4.0104103,13.038824,12.870197,9.428588,2.2712004,13.308082,0.058707573,9.395684,0.09178434,9.105959,-0.41357422,9.507209,-1.7024868,8.981908,6.4395704,11.790007,-8.3571415,9.374384,0.30995122,0.30468544,0.1366577,0.06620751,Just A Dream (On My Mind).mp3,blues
246.56,0.05945062174816367,1351.2305543672007,533.4976950576926,2800.5949338486735,1634.3286882558673,[67.99958882],-110.119736,84.52649,142.37363,33.132626,-20.378418,28.67834,48.951817,20.205063,3.6603012,16.210793,7.6054935,10.828909,0.031041702,10.900749,12.217673,11.960858,0.12930833,9.881937,0.014220231,11.2035055,-2.9858272,11.674422,-1.968965,8.578026,-6.5055833,7.6387053,0.3180099,0.30168495,0.22921184,0.0693713,High Water Every Where.mp3,blues
249.64,0.09773672194707961,2109.0640909005792,572.6405846329052,4236.2091064453125,2236.816739925759,[198.76802885],-127.06691,75.0293,101.68048,24.301647,-20.330584,25.961493,15.959371,13.805307,6.2274837,12.154629,5.1146007,9.46292,-3.7732232,12.538097,4.95622,10.178138,-5.3879466,10.564887,3.7434978,9.674359,-2.252701,9.271369,4.0266094,8.308299,-1.0141529,9.060225,0.3459167,0.30705863,0.11635512,0.06419717,"Sweet Little Angel (Live At The Regal Theater, Chicago, 1964).mp3",blues
149.86666666666667,0.12911805286599534,2619.7938169317963,970.6568585994461,4890.222120691325,2270.4631378156196,[123.046875],-259.49045,107.20868,63.47733,45.087467,-28.082256,40.475544,23.461626,26.170937,-0.06297629,19.39939,-1.9614565,16.169653,-6.086785,14.176096,-9.515002,15.226196,-12.192281,12.899543,2.0463293,12.989768,-12.813122,14.690265,5.368168,11.79239,-0.8637035,11.0443535,0.3439145,0.32314804,0.055356376,0.047742397,John The Revelator.mp3,blues
362.5733333333333,0.09575694069204291,2055.5754092898346,507.2832236998482,4306.337932839518,2201.61211075746,[172.265625],-10.484606,58.32371,106.970245,25.558363,-20.14749,24.525301,25.564337,15.32466,0.656387,13.348659,7.6934958,9.824449,-1.7019206,8.75025,10.448917,9.308092,-0.9925259,7.353067,3.7237852,8.30812,-0.90819925,7.0745416,6.6956244,7.636353,-1.7510184,6.8410435,0.403893,0.28681704,0.2806969,0.08403459,"I Don't Need No Doctor (Live at the Nokia Theatre, Los Angeles, CA - December 2007).mp3",blues
244.69333333333333,0.09949998776864503,2133.4657315329873,563.401273425753,4569.483005644214,2423.3349334664904,[103.359375],-64.72976,73.24081,104.99739,24.386543,-3.6239362,22.70792,14.887644,12.45962,9.38606,11.661561,0.105858855,7.877267,-6.1013155,9.721285,1.0696274,8.430385,0.1980293,8.412181,2.323113,7.1488185,-3.0974946,7.533872,2.8470426,7.181059,-1.7198154,7.294661,0.3381648,0.30002043,0.1817873,0.05740774,Me And My Guitar.mp3,blues
349.29333333333335,0.09107144804684904,2045.5195942949342,539.1432878066423,4285.441663909813,2235.599922632537,[69.83741554],-28.80691,63.175194,102.7953,24.805593,-9.899281,15.499328,33.010174,13.248969,-3.9080052,10.653994,8.519537,8.667887,4.447058,8.5615015,7.721766,8.539334,-0.26778322,7.585515,3.4285362,7.463538,-1.1239628,7.510972,2.7469609,7.1451707,-3.4228358,7.534119,0.33157188,0.29115906,0.24821585,0.051801495,Heartbreaker.mp3,blues
